nama,kategori,rating,provinsi,kota,kecamatan,alamat,link
Alun-Alun Mini Tejo,Taman,4.4,Jawa Timur,Bojonegoro,Kanor,"R2V3+43F, Tejo, Kec. Kanor, Kabupaten Bojonegoro, Jawa Timur 62193","https://www.google.com/maps/place/Alun-Alun+Mini+Tejo/@-7.1521859,110.9298717,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7786624b958b03:0xa824ad671baf9a91!8m2!3d-7.1571898!4d112.0026651!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb1oWIhRwYXJrIG5lYXIgYm9qb25lZ29yb5IBCnRoZW1lX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkJNQzAyZG1wUlJSQULgAQA?hl=id"
Taman Tirta Indah Bojonegoro,Taman,3.8,Jawa Timur,Bojonegoro,Bojonegoro,"Jl. WR. Supratman No.81, Karang Pacar, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62119","https://www.google.com/maps/place/Taman+Tirta+Indah+Bojonegoro/@-7.1521859,110.9298717,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e778227753cc8f1:0x1c3275d500d1557b!8m2!3d-7.1479657!4d111.8899181!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBFHB1YmxpY19zd2ltbWluZ19wb29s4AEA?hl=id"
Kebun Pohon berbuah dan Hias Griya Allesya,Taman,5.0,Jawa Timur,Bojonegoro,Bojonegoro,"Jl. Serma Maun No.26, Banjarejo, Banjarjo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62118","https://www.google.com/maps/place/Kebun+Pohon+berbuah+dan+Hias+Griya+Allesya/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7783baf5fe3d8f:0x501ece534780977b!8m2!3d-7.1409835!4d111.896215!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBmdhcmRlbuABAA?hl=id"
Kopi Kotok ENAK,Taman,3.0,Jawa Timur,Bojonegoro,Kapas,"No.Rt 15, Banaran Lor, Mojodeso, Kec. Kapas, Kabupaten Bojonegoro, Jawa Timur 62181","https://www.google.com/maps/place/Kopi+Kotok+ENAK/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7781f648d65651:0x475f9c3464ef7cc0!8m2!3d-7.1834429!4d111.9238813!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBE2FtdXNlbWVudF9wYXJrX3JpZGXgAQA?hl=id"
Wisata Taman Pinggir Nggawan (TPG),Taman,4.3,Jawa Timur,Bojonegoro,Balen,"RXVH+776, Jl. Desa Pilanggede, Kaligede, Pilang Gede, Kec. Balen, Kabupaten Bojonegoro, Jawa Timur 62182","https://www.google.com/maps/place/Wisata+Taman+Pinggir+Nggawan+(TPG)/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77874beee4158d:0xac00186685d0794f!8m2!3d-7.1568425!4d111.9781543!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb1oWIhRwYXJrIG5lYXIgYm9qb25lZ29yb5IBEG5hdGlvbmFsX3Jlc2VydmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhiVGxmVW5aUlJSQULgAQA?hl=id"
Cctv Kota Ledre,Taman,5.0,Jawa Timur,Bojonegoro,Bojonegoro,"RVRC+XM3, Pondokasri, Klangon, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62113","https://www.google.com/maps/place/Cctv+Kota+Ledre/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e7781b73a228375:0xb3b55fa959071ab5!8m2!3d-7.1576113!4d111.8716865!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBEGNvbW11bml0eV9nYXJkZW7gAQA?hl=id"
Wisata Edukasi Pejambon,Taman,4.6,Jawa Timur,Bojonegoro,Sumberejo,"Jl. RA. Kartini, Pejambon, Kec. Sumberejo, Kabupaten Bojonegoro, Jawa Timur 62191","https://www.google.com/maps/place/Wisata+Edukasi+Pejambon/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77872a15cc7a23:0xe67e06a336575ae8!8m2!3d-7.1981921!4d112.0218848!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBEnRvdXJpc3RfYXR0cmFjdGlvbuABAA?hl=id"
Air Mancur Alun - Alun Bojonegoro,Taman,4.4,Jawa Timur,Bojonegoro,Bojonegoro,"VV2J+C38, Ledok Kulon Tiga, Ledok Wetan, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62112","https://www.google.com/maps/place/Air+Mancur+Alun+-+Alun+Bojonegoro/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e77821ff0c510c5:0xa04e5920f4df4b8b!8m2!3d-7.1489507!4d111.8802129!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBCGZvdW50YWlu4AEA?hl=id"
Taman Bunga Desa Bendo,Taman,4.2,Jawa Timur,Bojonegoro,Kapas,"Bendo, Kec. Kapas, Kabupaten Bojonegoro, Jawa Timur 62181","https://www.google.com/maps/place/Taman+Bunga+Desa+Bendo/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e778011bbb2992d:0x6dec754edcd44340!8m2!3d-7.219065!4d111.8727017!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb5IBBmdhcmRlbuABAA?hl=id"
Elsa Batik Dander Bojonegoro,Taman,4.2,Jawa Timur,Bojonegoro,Bojonegoro,"Depan Wisata Water Park, Alang-alang Kemangi, Dander, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62171","https://www.google.com/maps/place/Elsa+Batik+Dander+Bojonegoro/@-7.1552717,110.5629204,9z/data=!4m10!1m3!2m2!1spark+near+bojonegoro!6e1!3m5!1s0x2e79d546fe4be003:0x8b94b83a4bf2894f!8m2!3d-7.2503956!4d111.8416458!15sChRwYXJrIG5lYXIgYm9qb25lZ29yb1oWIhRwYXJrIG5lYXIgYm9qb25lZ29yb5IBCGJvdXRpcXVlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5SYURReU5tcEJSUkFC4AEA?hl=id"
