nama,kategori,rating,provinsi,kota,kecamatan,alamat,link
TAMAN SAMPOERNA,Taman,4.7,Jawa Timur,Surabaya,Pabean Cantikan,"Jl. Dapuan Baru No.5, RT.002/RW.05, Krembangan Utara, Kec. Pabean Cantikan, Kota SBY, Jawa Timur 60163","https://www.google.com/maps/place/TAMAN+SAMPOERNA/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9a01a315b7f:0xe18c342144b88780!8m2!3d-7.230031!4d112.7349035!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSARB0b2JhY2NvX2V4cG9ydGVy4AEA?hl=en"
MUSEUM H.O.S. TJOKROAMINOTO,Taman,4.7,Jawa Timur,Surabaya,Genteng,"Jl. Peneleh Gg. VII No.29-31, Peneleh, Kec. Genteng, Kota SBY, Jawa Timur 60274","https://www.google.com/maps/place/MUSEUM+H.O.S.+TJOKROAMINOTO/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f9b178b9c013:0x58f9a33cc4dce09e!8m2!3d-7.2525419!4d112.737776!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5MYUMwM05sSkJFQUXgAQA?hl=en"
Kampung UMKM Kreatif Putat Jaya,Taman,5.0,Jawa Timur,Surabaya,Sawahan,"Rumah Pak RT, Putat Jaya II A No.28, RT.05/RW.03, Putat Jaya, Kec. Sawahan, Kota SBY, Jawa Timur 60255","https://www.google.com/maps/place/Kampung+UMKM+Kreatif+Putat+Jaya/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fbc99e7634a1:0x4540606dbf520c39!8m2!3d-7.2710429!4d112.7213048!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
PO Damri,Taman,4.2,Jawa Timur,Surabaya,Wonokromo,"Blk. N - O Jagir Sidoresmo 7 No.167, Jagir, Kec. Wonokromo, Kota SBY, Jawa Timur 60244","https://www.google.com/maps/place/PO+Damri/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fba9fa227c17:0x521f4fab604349ff!8m2!3d-7.3057207!4d112.7562148!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Kolam Renang Monkasel,Taman,4.3,Jawa Timur,Surabaya,Genteng,"Jl. Pemuda No.118, Embong Kaliasin, Kec. Genteng, Kota SBY, Jawa Timur 60271","https://www.google.com/maps/place/Kolam+Renang+Monkasel/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f962bd691da7:0xa26f954756ddf0a0!8m2!3d-7.2658347!4d112.7495346!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
House of Sampoerna,Taman,4.6,Jawa Timur,Surabaya,Pabean Cantikan,"Taman Sampoerna No.6, Krembangan Utara, Kec. Pabean Cantikan, Kota SBY, Jawa Timur 60163","https://www.google.com/maps/place/House+of+Sampoerna/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f92141061d7f:0x41a02b3a11736c5e!8m2!3d-7.2308173!4d112.7342344!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJyTWkxeFltbDNSUkFC4AEA?hl=en"
Alun - Alun Surabaya,Taman,4.7,Jawa Timur,Surabaya,Genteng,"Jl. Gubernur Suryo No.15, Embong Kaliasin, Kec. Genteng, Kota SBY, Jawa Timur 21256","https://www.google.com/maps/place/Alun+-+Alun+Surabaya/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f92cdeef8595:0xd38a95482769b82c!8m2!3d-7.2638645!4d112.7453065!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QZFUxaVZXcFJSUkFC4AEA?hl=en"
Monumen Pers Perjuangan Surabaya,Taman,4.6,Jawa Timur,Surabaya,Genteng,"Jl. Tunjungan.100 (""BCB"" UTAMA 3 Kolom + MENARA Lama 3 Lantai, Genteng, Kec. Genteng, Kota SBY, Jawa Timur 60272","https://www.google.com/maps/place/Monumen+Pers+Perjuangan+Surabaya/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7f963d2d4fb4d:0x7e0567494710e8d4!8m2!3d-7.2608988!4d112.7395433!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSARJ0b3VyaXN0X2F0dHJhY3Rpb27gAQA?hl=en"
"Puri Bali, Surabaya",Taman,4.7,Jawa Timur,Surabaya,Dukuhpakis,"PPC7+879, Jl. Dukuh Kupang XIV, Dukuh Kupang, Kec. Dukuhpakis, Kota SBY, Jawa Timur 60225","https://www.google.com/maps/place/Puri+Bali,+Surabaya/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fd03ead4e953:0x747f8e353b15357d!8m2!3d-7.2792236!4d112.7132563!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWGSAQZtdXNldW3gAQA?hl=en"
Bung Tomo Radio,Taman,4.0,Jawa Timur,Surabaya,Tegalsari,"Jl. Mawar No.10, Tegalsari, Kec. Tegalsari, Kota SBY, Jawa Timur 60262","https://www.google.com/maps/place/Bung+Tomo+Radio/@-7.2687457,112.6054531,12z/data=!4m10!1m3!2m2!1smuseum+dekat+surabaya!6e1!3m5!1s0x2dd7fbe0421cac0b:0x281b2450d0985d5a!8m2!3d-7.2687457!4d112.737289!15sChVtdXNldW0gZGVrYXQgc3VyYWJheWFaFyIVbXVzZXVtIGRla2F0IHN1cmFiYXlhkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJGTVdRMk9EbG5SUkFC4AEA?hl=en"
